City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
broome,100,RU,1597018983,81,71.69,128.87,277.63,4.27
broome,12,IT,1597018984,100,46.62,10.7,291.48,1.0
broome,85,CK,1597018985,78,-21.21,-159.78,298.15,3.6
broome,0,NZ,1597018986,58,-41.41,175.52,288.15,8.7
broome,75,BB,1597018987,78,13.22,-59.52,301.15,6.2
broome,47,PG,1597018988,62,-2.67,141.3,302.58,1.72
broome,34,RU,1597018989,94,73.51,80.55,279.41,7.64
broome,40,US,1597018991,66,22.08,-159.32,302.15,9.3
broome,14,PT,1597018992,78,38.52,-28.7,295.32,2.46
broome,75,MU,1597018993,52,-20.34,57.76,293.15,5.1
broome,90,ID,1597018994,75,-0.91,122.88,299.95,0.27
broome,20,CA,1597018995,40,58.52,-117.14,296.15,3.1
broome,65,MN,1597018996,51,48.01,91.64,289.91,0.46
broome,100,MV,1597018997,81,-0.6,73.08,300.84,5.3
broome,0,RU,1597018998,72,50.84,35.85,290.15,2.0
broome,52,PG,1597018999,67,-3.67,152.43,302.25,1.98
broome,0,ZA,1597019001,70,-27.75,26.64,277.67,2.89
broome,11,US,1597018751,64,34.64,-120.46,294.26,6.7
broome,99,RU,1597019003,63,71.92,114.08,279.42,1.89
broome,6,ZA,1597019004,58,-33.92,25.57,288.15,6.2
broome,53,GL,1597019005,74,77.48,-69.36,276.35,0.9
broome,100,CL,1597019006,80,-53.15,-70.92,274.15,7.2
broome,49,CL,1597018801,86,-39.81,-73.25,278.56,2.67
broome,20,BO,1597019008,31,-17.35,-65.87,289.15,1.5
broome,19,PF,1597019010,74,-23.12,-134.97,294.25,9.88
broome,20,CA,1597019011,43,65.28,-126.83,296.15,2.1
broome,20,AU,1597018844,80,-42.88,147.33,279.82,4.1
broome,20,MY,1597018954,88,5.41,100.34,301.15,1.5
broome,100,CN,1597019014,87,49.2,119.7,289.82,2.68
broome,75,JP,1597019015,59,35.55,133.23,306.15,4.6
broome,8,PE,1597019016,84,-10.07,-78.15,288.73,3.13
broome,12,ZA,1597019018,87,-33.01,17.94,283.15,1.5
broome,18,US,1597018750,65,42.6,-73.97,301.48,2.47
broome,99,RU,1597019020,80,50.72,136.63,291.9,1.01
broome,86,RU,1597019021,68,67.63,134.63,283.79,4.62
broome,90,AR,1597018941,92,-54.8,-68.3,275.15,7.7
broome,90,CA,1597019023,87,55.3,-123.17,284.15,2.6
broome,2,NA,1597019025,34,-17.93,19.77,287.84,2.02
broome,95,UY,1597019026,84,-33.7,-53.46,289.49,3.37
broome,4,PE,1597019027,89,-4.58,-81.27,289.78,7.6
broome,75,CA,1597019028,35,58.81,-122.7,295.15,2.1
broome,100,IN,1597019029,99,25.52,90.22,296.89,2.26
broome,0,MX,1597019030,60,30.48,-115.95,296.76,6.15
broome,20,TO,1597019031,69,-21.2,-175.2,297.15,3.1
broome,16,ZA,1597019033,87,-34.53,20.04,285.15,5.1
broome,6,RU,1597019034,85,51.15,37.89,289.29,1.65
broome,100,BZ,1597019035,71,17.25,-88.77,300.93,0.89
broome,18,RU,1597019036,74,61.13,74.82,290.67,3.21
broome,0,AU,1597019037,81,-34.2,142.15,283.71,3.1
broome,40,VU,1597019038,65,-15.53,167.17,301.15,3.1
broome,75,JP,1597019040,79,33.28,134.15,304.15,5.1
broome,40,US,1597019041,28,32.22,-98.2,309.15,5.7
broome,0,AO,1597019042,42,-11.78,19.92,287.59,2.27
broome,99,GL,1597019043,93,60.14,-45.24,278.98,2.73
broome,90,FO,1597019044,93,62.16,-7.17,284.15,3.1
broome,100,NO,1597019045,91,70.86,29.09,283.38,8.64
broome,44,PF,1597019046,73,-9.8,-139.03,298.98,9.77
broome,0,BR,1597019047,87,-19.39,-40.07,292.36,0.96
broome,0,ZA,1597019048,42,-33.02,27.91,290.38,11.14
broome,0,NO,1597019050,87,62.58,6.13,283.71,2.24
broome,32,OM,1597019051,39,22.93,57.53,303.34,1.07
broome,29,ZA,1597019052,83,-34.42,19.23,285.93,0.89
broome,75,SA,1597019053,79,17.33,42.67,304.15,2.6
broome,0,SE,1597019054,81,63.83,20.26,284.15,3.6
broome,14,CA,1597019055,77,48.65,-53.11,292.59,8.49
broome,75,US,1597018971,65,43.59,-83.89,303.15,1.5
broome,90,CA,1597019058,77,50.7,-127.42,289.15,3.1
broome,90,IS,1597019059,100,63.84,-22.43,284.15,7.7
